id,title,content
4562,Stitch! The Movie,"Stitch, an alien living on Earth disguised as a dog with his human family, continues his adventures when he discovers that the alien family he never knew he had is now in Hawaii, being hunted down by galactic forces."
4563,Stonehenge: Decoded,Stonehenge Decoded presents world-renowned archaeologists as they reveal a revolutionary new theory about who built Stonehenge and why.
4564,Stuck in the Suburbs,"Teenager Brittany is bored with her quiet suburban life. She finds excitement when her phone is switched with the phone of Jordan Cahill. Jordan, only the top teen pop singer, has come to her town to make a music video."
4565,The Sultan and the Rock Star,"Paul Winters, a rock star burnout, flees his fame and ends up by chance on an island where he comes face to face with Sultan, a Bengal tiger domesticated, former television star and left ..."
4566,Super Buddies,"Watch the fur fly as a new breed of superhero is born in Disneys fun-filled epic adventure. An ordinary day at Fernfield Farms turns extraordinary when Budderball, Mudbud, B- Dawg, Buddha ..."
4567,Super Rhino,"Penny and Bolt have been captured by the evil Dr. Calico, suspended above a pool of lava (Calico is going to lower Penny and Bolt into the lava to kill them), inside a heavily guarded ..."
4568,Supercar Superbuild,"Supercar Superbuild showcases the passion, artistry and engineering behind some of the fastest and most lust-worthy supercars in the world. Behind each story lies a dedicated team of ..."
4569,Swiss Family Robinson,A family setting out for a new life across the sea is shipwrecked on a deserted island. The family members collaborate to create a home for themselves in the jungle environment.
4570,Swiss Family Robinson,A Swiss family must survive being shipwrecked on a deserted island.
4571,TaleSpin,Baloo the Bear from The Jungle Book (1967) is cast as a 1930s Pacific Islands bush pilot.
4572,Tall Tale,A young boy draws on the inspiration of legendary western characters to find the strength to fight an evil land baron in the old west who wants to steal his family's farm and destroy their ...
4573,Tangled,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
4574,Tangled: Before Ever After,"As Rapunzel prepares for her coronation as Princess of Corona, one unforgettable night will change her hair again!"
4575,Tangled: The Series,"Set between Walt Disney Animation Studios' ""Tangled"" and its short film ""Tangled Ever After,"" this animated adventure/comedy series unfolds as Rapunzel acquaints herself with her parents, her kingdom and the people of Corona."
4576,Tarzan & Jane,"After being married an entire year, Jane thinks back on some of her and Tarzan's adventures as she searches for something special to mark the occasion with."
4577,Teacher's Pet,"Spot (Lane) is a dog who can talk and read. Posing as a human, he sneaks into school with his master Leonard (Flemming). Educational adventures ensue."
4578,Teacher's Pet,"Envying the life of his eight-year-old master, a talking dog disguises himself as a human boy in order to go to school with him, and he becomes the big mutt on campus."
4579,Teen Beach 2,"Modern day teens Mack and Brady get a real world visit from Lela, Tanner, Butchy, and other surfer and biker pals from the beach party film within a film, Wet Side Story."
4580,Teen Beach Movie,"Two surfing lovers, whose doomed relationship is nearing to a close, find themselves swept into a dimension-traversing wave that sends them into a beach movie musical in the 60's."
4581,Teen Spirit,"The story is about Amber, a mean popular girl who gets electrocuted and dies and is not allowed to enter into heaven unless she helps the least popular girl in school become Prom Queen within a week, but things do not go as planned."
4582,That Darn Cat,"A maid is kidnapped and scratches a message onto D.C. the cat's collar and when his owner Patti discovers this, she plays amateur detective with the help of D.C. to try to find the culprits."
4583,That Darn Cat!,"After a kidnapped bank teller uses a neighbor's wandering cat to send an S.O.S., the F.B.I. assigns a cat-allergic Agent to the case."
4584,That's So Raven,"A teenage girl periodically receives brief psychic visions of the near future. Trying to make these visions come true results in trouble, and hilarious situations, for the girl and her friends."
4585,The Absent Minded Professor,A college professor invents an anti-gravity substance which a corrupt businessman wants for himself.
4586,,
4587,The Adventures of Bullwhip Griffin,"A young man from Boston heads west to join the California gold rush with the hopes of restoring his family fortune, but his dedicated butler sets out to find him and bring him home."
4588,The Adventures of Huck Finn,"In Missouri, during the 1840s, young Huck Finn fearful of his drunkard father and yearning for adventure, leaves his foster family and joins with runaway slave Jim in a voyage down the Mississippi River toward slavery free states."
4589,The Adventures of Ichabod and Mr. Toad,"An animated adaptation of ""The Wind in the Willows"" followed by an adaptation of ""The Legend of Sleepy Hollow""."
4590,The Adventures of Spin and Marty,N/A
4591,The African Lion,The Milotte's spend three years in Africa filming a lion.
4592,The Apple Dumpling Gang,Three orphan children strike gold in 1878 California.
4593,The Apple Dumpling Gang Rides Again,"The adventures of two idiotic outlaw wannabees, Amos and Theodore."
4594,The Aristocats,"With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country."
4595,The Art of Skiing,"Goofy, staying at the Sugar Bowl resort, demonstrates the basics of downhill skiing, which the titles and announcer insist is pronounced ""SHEEing"". The equipment is, of course, of the era. ..."
4596,The Avengers: Earth's Mightiest Heroes,"After 74 villains break out of prison, Marvel's most powerful superheroes team up to capture all of them, and also to defend the Earth from widespread threats."
4597,Avengers: United They Stand,The adventures of the Marvel Comics Universe's greatest general membership superhero team.
4598,The Band Concert,Mickey and his band are determined to perform their music despite the interferance of Donald Duck and a powerful storm.
4599,The Bears and I,A man seeking peace and quiet finds himself father to three bears.
4600,The BFG,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world."
4601,The Big Bad Wolf,"The two foolish little pigs escort Red Riding Hood on a short cut through the woods, against the advice of their bricklayer brother. When they encounter the wolf, Red runs ahead to granny's..."
4602,The Biscuit Eater,"In this touching adventure, a remake of the popular 1940 film, two Georgia boys ignore their racial differences to team up and befriend a feral bird dog, whom they train to participate in a field trials."
4603,The Black Cauldron,A young boy and a bunch of misfit friends embark on a quest to find a dark magic item of ultimate power before a diabolical tyrant can.
4604,The Black Hole,"A research vessel finds a missing ship, commanded by a mysterious scientist, on the edge of a black hole."
4605,The Blue Umbrella,"Amidst the rain in a singing city, two umbrellas - one blue, one not - fall eternally in love."
4606,,
4607,The Book of Pooh,"A new Disney version of the classic children's stories about Winnie the Pooh and his friends. Rather than the animated versions of the past, this series is done entirely in a puppet format...."
4608,The Boy Who Talked to Badgers,A young boy gets along better with the animals he befriends around his family's Canadian farm than with the people he lives with.
4609,The Brave Little Toaster Goes to Mars,"Thomas M. Disch's sequel, based on the book sequel, has our heroes zooming off to, of all places, Mars."
4610,The Castaway Cowboy,"A Texas cowboy is rescued at sea by a 12-year-old boy. While he waits to return home, he decides to help out his rescuer's family."
4611,The Cat from Outer Space,"Three scientists help an Alien feline, stranded on Earth, to repair its damaged spacecraft in order to return home but their efforts are hampered by inept army officials and foreign spies."
4612,The Cheetah Girls,Four teens aim to take the world by storm with their music.
4613,The Cheetah Girls 2,"The girl group return for more adventures, this time traveling to Spain to take part in a music festival."
4614,The Cheetah Girls: One World,The girl group travel to India to star in a Bollywood movie - but end up competing for the same part.
4615,The Christmas Star,A counterfeiter finds the true meaning of the holidays.
4616,The Chronicles of Narnia: Prince Caspian,"The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian."
4617,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.
4618,The Color of Friendship,A white South African girl finds herself in a difficult situation when she is sent to spend a term with a black family in America.
4619,The Computer Wore Tennis Shoes,"At Medfield College, an accident with a donated computer gives Dexter Riley the ability to remember any knowledge learned instantly and perfectly."
4620,The Country Bears,Beary Barrington goes on an adventure to save Country Bear Hall by getting the Country Bears back together for a reunion concert.
4621,,
4622,,
4623,The Emperor's New Groove,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder."
4624,The Even Stevens Movie,"The Stevens think that they've won an all-expenses-paid trip to an island that's halfway around the world. When their house is destroyed, their food stolen, and their bacon eaten, the ..."
4625,The Finest Hours,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.
4626,The Flood,An in-depth look at the animals living in the heart of Africa's Okavango Delta.
4627,The Fox and the Hound,Two childhood friends find themselves forced to become enemies.
4628,The Fox and the Hound 2,"Tod and Copper still go together like an itch and a scratch, but when Copper gets a shot at the big time with a nutty group of hound dog howlers, their purebred friendship is put to the test."
4629,The Game Plan,An NFL quarterback living the bachelor lifestyle discovers that he has an 8-year-old daughter from a previous relationship.
4630,The Ghosts of Buxley Hall,Ghosts and a young cadet try to save a military academy from being closed.
4631,The Goddess of Spring,"The lovely goddess of spring Persephone is kidnapped by Hades, thus bringing about the winter season."
4632,The Golden Touch,"Greedy King Midas is granted his wish that everything he touches turns to gold. However, he realizes this may be a curse, when he sits down to eat and the food turns to gold as well."
4633,The Good Dinosaur,"In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend."
4634,The Great Mouse Detective,"Basil, the rodent Sherlock Holmes, investigates the kidnapping of a toy maker and uncovers its link to his archenemy, Professor Ratigan."
4635,The Great Muppet Caper,"Kermit the Frog, The Great Gonzo, and Fozzie Bear are reporters who travel to Britain to interview a rich victim of jewel thieves and help her along with her secretary, Miss Piggy."
4636,The Greatest Game Ever Played,"In the 1913 US Open, 20-year-old Francis Ouimet played golf against his idol, 1900 US Open champion, Englishman Harry Vardon."
4637,The Haunted Mansion,"A realtor and his wife and children are summoned to a mansion, which they soon discover is haunted, and while they attempt to escape, he learns an important lesson about the family he has neglected."
4638,The Hockey Champ,Donald shows his nephews the moves that won him his hockey trophy. But the boys have a few moves of their own.
4639,The Hunchback of Notre Dame,"A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer."
4640,The Hunchback of Notre Dame 2: The Secret of the Bell,Quasimodo goes into action when a magician seeks to steal one of the bells of Notre Dame.
4641,The Imagineering Story,The inside look into the Walt Disney Imagineering company.
4642,The Incredible Dr. Pol,"With more than 20,000 patients, Dr. Pol has seen it all. Specializing in large farm animals, this senior is anything but retiring as he takes an old school, no-nonsense approach to veterinary medicine."
4643,Blue Ribbon Kids,N/A
4644,The Incredible Journey,"The story of three pets, a cat and two dogs, who lose their owners when they are all on vacation. Can they find their way home?"
4645,The Incredibles,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world."
4646,The Journey of Natty Gann,"In the 1930s, a tomboy runs away from her guardian to join her single father who is 2,000 miles away, where he has found work."
4647,The Jungle Book,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.
4648,The Jungle Book 2,"Mowgli, missing the jungle and his old friends, runs away from the man village unaware of the danger he's in by going back to the wild."
4649,The Jungle Book: Mowgli's Story,"Now your whole family can relive Disney's 'The Jungle Book', from Mowgli's point of view."
4650,The Last Song,"A rebellious girl is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect."
4651,The Legend of Mor'du,The witch from Pixar's Brave (2012) uses magical illustrations to tell the legend of a power-obsessed prince who sought a magic spell that would allow him to wrest control of a kingdom from...
4652,The Lion King,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery."
4653,The Lion King 3: Hakuna Matata,Timon the meerkat and Pumbaa the warthog retell the story of The Lion King (1994) from their own perspective.
4654,The Lion King 2: Simba's Pride,Simba's daughter is the key to a resolution of a bitter feud between Simba's pride and the outcast pride led by the mate of Scar.
4655,The Lion King,"A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities."
4656,The Little Mermaid,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.
4657,The Little Mermaid 2: Return to the Sea,"To protect her from a sea witch, Ariel's daughter is not allowed in the ocean; but when she becomes 12, she runs away to an adventure under the sea."
4658,The Little Mermaid: Ariel's Beginning,"In the kingdom of Atlantica where music is forbidden, the youngest daughter of King Triton, named Ariel, discovers her love of an underground music club and sets off to a daring adventure to bring restoration of music back to Atlantica."
4659,,
4660,The Living Desert,Documentary of the lives of flora and fauna in a desert in the US.
4661,Lizzie McGuire,"Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true."
4662,The Lodge,"A new show centered on a teenage girl who takes over her Grandfathers Lodge, and befriends its teenage staff."
4663,The Lost Tomb of Alexander the Great,"In this gripping investigation, archaeologist Pepi Papakosta is on a hunt for Alexander the Great's lost tomb, and she makes an extraordinary discovery."
4664,The Love Bug,A race car driver becomes a champion with a Volkswagen Beetle with a mind of its own.
4665,The Mandalorian,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic."
4666,The Many Adventures of Winnie the Pooh,"In this collection of animated shorts based on the stories and characters by A.A. Milne, Winnie the Pooh, a honey-loving teddy bear, embarks on some eccentric adventures."
4667,The Million Dollar Duck,"Professor Dooley takes home a duck from his research laboratory as a pet for his son, but soon finds out that it lays golden eggs."
4668,The Mistle-Tones,A talented singer forms a musical group and challenges her rivals to a competition on Christmas Eve.
4669,The Muppet Christmas Carol,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.
4670,The Muppet Movie,"Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit."
4671,The Muppets,A Muppet fanatic with some help from his 2 human compatriots must regroup the Muppet gang to stop an avaricious oil mogul from taking down one of their precious life-longing treasures.
4672,The Muppets.,Jim Henson's lovable Muppets return to the small screen in this mockumentary-style series that follows their personal and professional lives.
4673,The New Adventures of Winnie the Pooh,Follow Winnie the Pooh's adventures in the Hundred Acre Wood.
4674,The New Neighbor,"As the new neighbor on the block, Donald Duck tries to be courteous to the inconsiderate slob living next door; but eventually a feud erupts, and the television news covers it like a sporting event."
4675,The Odd Life of Timothy Green,"A childless couple bury a box in their backyard, containing all of their wishes for an infant. Soon, a child is born, though Timothy Green is not all that he appears."
4676,The Old Mill,A variety of animals find a shelter in the old mill during a fierce storm.
4677,The Olympic Champ,Goofy illustrates the various Olympic track-and-field events and the torch traditions.
4678,The Olympic Elk,N/A
4679,The Other Me,Will Browning accidentally creates a clone of himself when working on a science project.
4680,The Parent Trap,Teenage twin sisters swap places and scheme to reunite their divorced parents.
4681,The Parent Trap,"Identical twins Annie and Hallie, separated at birth and each raised by one of their biological parents, later discover each other for the first time at summer camp and make a plan to bring their wayward parents back together."
4682,The Pied Piper,"A piper saves a town from rat infestation, but when they refuse to pay him back for his deed, he gets revenge."
4683,The Plausible Impossible,"In Walt's words, the term ""plausible impossible"" means that it is something impossible in reality but still can be convincingly portrayed in some manner. He looks into a book called ""The ..."
4684,The Poof Point,A bad experiment makes two inventors younger and younger
4685,The Prince and the Pauper,"Two boys, one a prince and one a poor boy, change places."
4686,The Prince and the Pauper,A poor boy and a prince exchange identities and lives while the villainous Captain of the Guard plots to take advantage of this.
4687,The Princess and the Frog,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him."
4688,The Princess Bride,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
4689,The Princess Diaries,"Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year."
4690,The Princess Diaries 2: Royal Engagement,"Now settled in Genovia, Princess Mia faces a new revelation: she is being primed for an arranged marriage to an English suitor."
4691,The Proud Family,"Animated adventures of Penny Proud (Kyla Pratt), a girl growing up with the help of her friends."
4692,The Proud Family Movie,"Penny and her family are lured on an all expenses paid vacation where a mad scientist captures them, refusing to let them go because Oscar won't reveal his on of his secret Proud Snacks formulas."
4693,The Reluctant Dragon,Humorist Robert Benchley learns about the animation process at Walt Disney Studios while trying to find the great man himself to pitch him the idea of making a cartoon about a shy dragon.
4694,The Replacements,Two orphans are given access to a super foster agency that enables them to replace people in their life with aces and superhumans.
4695,The Rescuers,Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.
4696,The Rescuers Down Under,"The R.A.S. agents, Miss Bianca and Bernard, race to Australia to save a little boy and a rare golden eagle from a murderous poacher."
4697,The Rocketeer,A young pilot stumbles onto a prototype jetpack that allows him to become a high-flying masked hero.
4698,The Rookie,A Texas baseball coach makes the major league after agreeing to try out if his high school team made the playoffs.
4699,The Sandlot: Heading Home,"Sucessful, arrogant baseball superstar Tommy ""Santa"" Santorelli travels back in time to 1976 and relives his boyhood days on the sandlot baseball team, and has the chance to this time choose friendship over glory."
4700,The Santa Clause,"When a man inadvertently makes Santa fall off of his roof on Christmas Eve, he finds himself magically recruited to take his place."
4701,The Santa Clause 2,"Scott Calvin has been a humble Santa Claus for nearly ten years, but it might come to an end if he doesn't find a Mrs. Claus."
4702,The Santa Clause 3: The Escape Clause,"Santa, aka Scott Calvin, is faced with double-duty: how to keep his new family happy, and how to stop Jack Frost from taking over Christmas."
4703,The Scream Team,Eccentric Frank Carlyle ran a horror shop in small town Steeple Falls which takes pride in and profit from its Halloween traditions. Frank's widower grandson Richard begrudgingly returns ...
4704,The Secret of the Magic Gourd,A boy learns the meaning of work after a magic gourd grants him anything he wants.
4705,The Shaggy D.A.,A lawyer makes an interesting discovery that could affect his chances of getting elected to office.
4706,The Shaggy Dog,A teenage boy is cursed with periodically turning into an sheepdog.
4707,The Sign of Zorro,"In this film, edited from eight episodes of Disney's hit TV series, Don Diego returns home to find his town under the heel of a cruel dictator, Capitan Monastario. Diego dons the mask of ..."
4708,,
4709,The Simpsons,The satiric adventures of a working-class family in the misfit city of Springfield.
4710,The Small One,A young Judean boy tries to sell his beloved old donkey to someone who would care for him as much as he does.
4711,The Sound of Music,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.
4712,The Story of Robin Hood and His Merrie Men,"With King Richard away at the crusades, Prince John rules England with an iron fist and tasks the Sheriff of Nottingham with the collection of high taxes and the capture of outlaw Robin Hood."
4713,The Straight Story,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.
4714,The Strongest Man in the World,Dexter Riley and his friends accidently discover a new chemical mixed with a cereal seems to give anyone temporary superhuman strength
4715,The Suite Life Movie,"A doctor approaches Zack and Cody and tells them that they would be ideal for the Gemini Project, a massive project studying the effects of twins."
4716,The Suite Life of Zack & Cody,Comedy about identical twins living at the Tipton Hotel with their single mother who is a lounge singer at the hotel.
4717,The Suite Life on Deck,"Spin-off of the hit Disney Channel series ""The Suite Life of Zack & Cody,"" in which twin brothers Zack and Cody Martin and hotel heiress London Tipton enroll in a semester-at-sea program aboard a ship called the SS Tipton."
4718,The Super Hero Squad Show,"Marvel's greatest heroes and evilest of villains battle it out in action packed, yet somewhat satirical alternate universe-style adventures."
4719,The Swap,"Ellie O'Brien is trying to juggle rhythmic gymnastics and troubles with her best friend. Meanwhile, classmate Jack Malloy is struggling to live up to his brothers' hockey-star legacies and dad's high expectations and tough-love approach."
4720,The Sword in the Stone,"A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history."
4721,The Thirteenth Year,A teen learns that his birth mother is a mermaid after he begins to grow fins and slimy scales on his thirteenth birthday.
4722,The Three Caballeros,"Donald receives his birthday gifts, which include traditional gifts and information about Brazil (hosted by Zé Carioca) and Mexico (by Panchito, a Mexican Charro Rooster)."
4723,The Three Musketeers,"France, 1625: Young d'Artagnan heads to Paris to join the Musketeers but the evil cardinal has disbanded them - save 3. He meets the 3, Athos, Porthos and Aramis, and joins them on their quest to save the king and country."
4724,The Tigger Movie,Tigger goes looking through the hundred-acre-wood to find his family.
4725,The Tortoise and the Hare,"A Walt Disney Silly Symphony telling of the classic fable about a foot race between speedy Max Hare, aka The Blue Streak, and and Slow But Sure Toby Tortoise."
4726,The Ugly Dachshund,The Garrisons live with a Great Dane who thinks he's a dainty dachshund. His identity crisis results in an uproarious series of household crises that reduce the Garrisons' house to shambles.
4727,Ugly Duckling,A newborn cygnet searches for a family that will accept him.
4728,The Ultimate Christmas Present,"A girl steals a weather machine from Santa Claus, to make a snow day. The machine breaks, and causes an out-of-control snowstorm."
4729,The Vanishing Prairie,Story of the American Prairie as it was when vast herds of bison and elk grazed.
4730,The Wild,"An adolescent lion is accidentally shipped from the New York Zoo to Africa. Now running free, his zoo pals must put aside their differences to help bring him back."
4731,The Wise Little Hen,Donald and his friend Peter Pig try to avoid work by faking stomach aches until Mrs. Hen teaches them the value of labor.
4732,The Wizards Return: Alex vs. Alex,"While visiting Tuscany, Italy, a young wizard accidentally creates an evil version of herself."
4733,The Little Mermaid Live!,A live broadcast of the beloved animated Disney tale with live performances of the songs.
4734,The World According to Jeff Goldblum,"Documentary series in which Goldblum pulls back the curtain on a seemingly familiar object to reveal a world of astonishing connections, fascinating science, and a whole lot of big ideas."
4735,The Young Black Stallion,A young girl befriends a wild black stallion.
4736,Those Calloways,"Story of Cam Calloway and his family, who live in a densely wooded area in New England. Cam dreams of building a sanctuary for the geese that fly over the area each year, and he tries ..."
4737,,
4738,Three Days,"Ten years ago, Andrew married his childhood sweetheart, Beth. Now Andrew's a high-powered literary agent, but his relationship with his wife has not fared as well. When Beth is tragically ..."
4739,Three Little Pigs,"When a hungry wolf starts blowing down some pigs' houses, they take refuge in their sensible brother's brick house."
4740,,
4741,Three Men and a Baby,Three bachelors find themselves forced to take care of a baby left by one of the guys' girlfriends.
4742,Three Men and a Little Lady,"Three ex-dads quickly discover how empty life is without their little lady, and go to outrageous lengths in their efforts to win their daughter back in this critically acclaimed and equally charming sequel."
4743,,
4744,Thumbelina,The tiny girl meets a fairy Prince who saves her from the creatures of the woods.
4745,Tiger Cruise,"In the wake of the World Trade Center attacks, a naval carrier with civilians on board is ordered in combat mode."
4746,The Nightmare Before Christmas,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
4747,Timmy Failure: Mistakes Were Made,"An 11-year-old boy who believes that he is the best detective in town runs the agency Total Failures with his best friend, an imaginary 1,200-pound polar bear."
4748,Timon & Pumbaa,The further misadventures of various Lion King characters.
4749,Tin Toy,A tin one-man-band toy tries to escape a destructive baby.
4750,Tinker Bell,Enter the land of Tinker Bell and her four best fairy friends.
4751,Tinker Bell and the Great Fairy Rescue,Tinker Bell must team up with a rival fairy to keep their existence a secret from humans.
4752,Tinker Bell and the Lost Treasure,Tinker Bell journey far North of Never Land to patch things up with her friend Terence and restore a Pixie Dust Tree.
4753,Titanic: 20 Years Later with James Cameron,"For the 20th anniversary of ""Titanic,"" James Cameron reopens the file on the disaster."
4754,Toby Tortoise Returns,"Max Hare is boxing Toby Tortoise, and beating him severely in round one. Between rounds, a Mae West lookalike tells Toby she ""likes a man who takes his time"", which seems to reinvigorate ..."
4755,Togo,"The story of the sled dog, Togo, who led the 1925 serum run, but was considered by most to be too small and weak to lead such an intense race."
4756,Tom and Huck,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.
4757,Toy Story,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
4758,Toy Story 2,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
4759,Toy Story 3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
4760,Toy Story 4,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
4761,Toy Story Toons: Hawaiian Vacation,The toys throw Ken and Barbie a Hawaiian vacation in Bonnie's room.
4762,,
4763,Toy Story Toons: Small Fry,A fast food restaurant mini variant of Buzz forcibly switches places with the real Buzz and his friends have to deal with the obnoxious impostor.
4764,Trail of the Panda,"In China, a mute orphan boy rescues a lost panda cub."
4765,Trailer Horn,Donald's peaceful day in the forest gets rather disturbed by Chip and Dale.
4766,Treasure Island,The treasure seeking adventures of young Jim Hawkins and pirate captain Long John Silver.
4767,Treasure of Matecumbe,"In 1869 Kentucky, a young boy and his friends set out to find a treasure chest hidden by his late father in the Florida Everglades during the Civil War."
4768,Treasure Planet,"A Disney animated version of ""Treasure Island"". The only difference is that this movie is set in outer space with alien worlds and other galactic wonders."
4769,,
4770,TRON,A computer hacker is abducted into the digital world and forced to participate in gladiatorial games where his only chance of escape is with the help of a heroic security program.
4771,TRON: Uprising,"In the computer world of the Grid, a young program joins Tron's fight against their world's tyranny."
4772,TRON: Legacy,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.
4773,Tru Confessions,Trudy Walker hated her life. She thought it was totally messed up until she found out about a contest that could change everything..
4774,Tuck Everlasting,A young woman meets and falls in love with a young man who is part of a family of immortals.
4775,Tugboat Mickey,"Tugboat skipper Mickey Mouse and his inept crew, consisting of Donald Duck and Goofy, try to save a sinking ship."
4776,Turner & Hooch,A detective must adopt a rambunctious dog in order to help him find a killer.
4777,Tutankhamen's Treasures,N/A
4778,'Twas the Night,A mischievous 14-year-old boy and his irresponsible uncle almost ruin Christmas when they decide to take Santa's new high-tech sleigh for a joyride.
4779,Twitches,"Two teen witches who were separated at birth and were adopted by two different families meet on their 21st birthday and must use their powers to save the world in which they were born, where their birth mother still lives."
4780,Twitches Too,"After using their powers to battle the forces of darkness, the sisters settle down to lead normal lives. However, the discovery that their biological father may not be dead, but residing in New York, causes confusion for the pair."
4781,Unidentified Flying Oddball,An astronaut and his android double travel back to the time of King Arthur.
4782,,
4783,Unlikely Animal Friends,"The natural world is full of amazing stories, but sometimes animals act in ways that seemingly go against all their instincts. This heart-warming series examines the cases of animals that have struck up unusual relationships."
4784,Up,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
4785,"Up, Up, and Away!",The only normal member of a super-powered family feels left out and confused until he has the chance to use a talent of his own to save everyone.
4786,Valiant,"At the height of World War II, a tiny wood pigeon enlists in the elite Royal Homing Pigeon Service to serve Britain, as the fearsome General Von Talon (Tim Curry) and his deadly squadron of falcons patrol the English Channel. Is he a war-hero in the making?"
4787,Viking Warrior Women,"Drama led documentary follows the life of Signe, an orphaned Chief's daughter, who driven by revenge becomes an explorer and trader in the lands of the Rus Vikings."
4788,Violetta,A musically talented teenager who returns to her native Buenos Aires after living in Europe.
4789,Waking Sleeping Beauty,"The story of the Disney Renaissance, an incredibly prolific, successful and prestigious decade lasting from 1984 to 1994 that saw the fallen Walt Disney Animation Studios' unexpected progressive triumphant return to excellence."
4790,WALL·E,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
4791,,
4792,Water Birds,N/A
4793,Wendy Wu: Homecoming Warrior,A Californian teenager learns that she is the reincarnation of a legendary female warrior destined to protect the world.
4794,Whispers: An Elephant's Tale,"A nameless baby male elephant was just getting used to life in the herd, when poachers kill his mother, so he runs and gets lost. He's found by a grouchy female, Groove, the sister of a ..."
4795,White Fang,Jack London's classic adventure story about the friendship developed between a Yukon gold hunter and the mixed dog-wolf he rescues from the hands of a man who mistreats him.
4796,Who Framed Roger Rabbit,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
4797,Wicked Tuna,"Teams of tuna fisherman battle the elements, and each other, to catch the most Giant Bluefin Tuna."
4798,,
4799,,
4800,,
4801,Willow,A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen.
4802,Wind,N/A
4803,Winged Seduction: Birds of Paradise,N/A
4804,Winnie the Pooh,"While searching for honey, Pooh and his friends embark on an adventure to find Eeyore's missing tail and rescue Christopher Robin from an unknown monster called The Backson."
4805,Winnie the Pooh: A Very Merry Pooh Year,Ring in the season with Winnie The Pooh in a holiday adventure.
4806,Winnie the Pooh: Springtime with Roo,"Roo is upset when Rabbit cancels Easter and declares ""Spring Cleaning Day"" instead."
